TEAM_ID;EQ_NOMBRE;ESTADIO;POBLACION;PROVINCIA;CP
1;Real Madrid;Raimundo Saporta;Madrid;Madrid;28046
2;Baskonia;Fernando Buesa Arena;Vitoria;Álava;01013
3;FC Barcelona Lassa;Palau Blaugrana;Barcelona;Barcelona;08003
4;Valencia Basket;Fuente de San Luis;Valencia;Valencia;46006
5;Herbalife Gran Canaria;Gran Canaria Arena;Las Palmas de Gran Canaria;Las Palmas;35020
6;MoraBanc Andorra;Polideportivo de Andorra; Andorra la Vieja;Andorra;AD500
7;Unicaja;Palacio de Deportes José María Martín Carpena;Málaga;Málaga;29004
8;Iberostar Tenerife;Pabellón de Deportes de Tenerife Santiago Martín;La Laguna;Santa Cruz de Tenerife;38320
9;Montakit Fuenlabrada;Pabellón Fernando Martín;Fuenlabrada;Madrid;28940
10;UCAM Murcia;Palacio de Deportes de Murcia;Murcia;Murcia;30001
11;Movistar Estudiantes;WiZink Center;Madrid;Madrid;28009
12;Monbus Obradoiro;Multiusos Fontes do Sar;Santiago de Compostela;La Coruña;15700
13;Delteco GBC;José Antonio Gasca;San Sebastián;Guipúzcoa;20001
14;San Pablo Burgos;Coliseum Burgos;Burgos;Burgos;09001
15;Divina Seguros Joventut;Olímpico de Badalona;Badalona;Barcelona;08910
16;Tecnyconta Zaragoza;Pabellón Príncipe Felipe;Zaragoza;Zaragoza;50001
17;RETAbet Bilbao Basket;Bilbao Arena;Bilbao;Bilbao;48003
18;Real Betis;Palacio de Deportes San Pablo;Sevilla;Sevilla;41007